wl,k
1.0457e+01,3.4262e+01
1.0515e+01,3.4442e+01
1.0574e+01,3.4622e+01
1.0632e+01,3.4803e+01
1.0691e+01,3.4985e+01
1.0750e+01,3.5168e+01
1.0810e+01,3.5351e+01
1.0870e+01,3.5535e+01
1.0930e+01,3.5720e+01
1.0991e+01,3.5905e+01
1.1052e+01,3.6091e+01
1.1113e+01,3.6278e+01
1.1175e+01,3.6465e+01
1.1237e+01,3.6653e+01
1.1299e+01,3.6842e+01
1.1361e+01,3.7031e+01
1.1424e+01,3.7221e+01
1.1488e+01,3.7412e+01
1.1551e+01,3.7604e+01
1.1615e+01,3.7796e+01
1.1680e+01,3.7989e+01
1.1744e+01,3.8182e+01
1.1810e+01,3.8376e+01
1.1875e+01,3.8571e+01
1.1941e+01,3.8766e+01
1.2007e+01,3.8963e+01
1.2074e+01,3.9159e+01
1.2140e+01,3.9357e+01
1.2208e+01,3.9555e+01
1.2275e+01,3.9754e+01
1.2343e+01,3.9953e+01
1.2412e+01,4.0154e+01
1.2481e+01,4.0354e+01
1.2550e+01,4.0556e+01
1.2619e+01,4.0758e+01
1.2689e+01,4.0961e+01
1.2760e+01,4.1164e+01
1.2830e+01,4.1368e+01
1.2901e+01,4.1573e+01
1.2973e+01,4.1778e+01
1.3045e+01,4.1985e+01
1.3117e+01,4.2191e+01
1.3190e+01,4.2399e+01
1.3263e+01,4.2607e+01
1.3336e+01,4.2815e+01
1.3410e+01,4.3025e+01
1.3485e+01,4.3234e+01
1.3559e+01,4.3445e+01
1.3635e+01,4.3656e+01
1.3710e+01,4.3868e+01
1.3786e+01,4.4081e+01
1.3863e+01,4.4294e+01
1.3939e+01,4.4507e+01
1.4017e+01,4.4722e+01
1.4094e+01,4.4937e+01
1.4172e+01,4.5152e+01
1.4251e+01,4.5369e+01
1.4330e+01,4.5586e+01
1.4409e+01,4.5803e+01
1.4489e+01,4.6021e+01
1.4570e+01,4.6240e+01
1.4650e+01,4.6459e+01
1.4732e+01,4.6679e+01
1.4813e+01,4.6899e+01
1.4895e+01,4.7121e+01
1.4978e+01,4.7342e+01
1.5061e+01,4.7565e+01
1.5144e+01,4.7787e+01
1.5228e+01,4.8011e+01
1.5313e+01,4.8235e+01
1.5398e+01,4.8460e+01
1.5483e+01,4.8685e+01
1.5569e+01,4.8911e+01
1.5655e+01,4.9137e+01
1.5742e+01,4.9364e+01
1.5829e+01,4.9591e+01
1.5917e+01,4.9820e+01
1.6005e+01,5.0048e+01
1.6094e+01,5.0277e+01
1.6183e+01,5.0507e+01
1.6272e+01,5.0737e+01
1.6363e+01,5.0968e+01
1.6453e+01,5.1200e+01
1.6545e+01,5.1432e+01
1.6636e+01,5.1664e+01
1.6728e+01,5.1897e+01
1.6821e+01,5.2131e+01
1.6914e+01,5.2365e+01
1.7008e+01,5.2599e+01
1.7102e+01,5.2834e+01
1.7197e+01,5.3070e+01
1.7292e+01,5.3306e+01
1.7388e+01,5.3543e+01
1.7485e+01,5.3780e+01
1.7582e+01,5.4018e+01
1.7679e+01,5.4256e+01
1.7777e+01,5.4494e+01
1.7876e+01,5.4733e+01
1.7975e+01,5.4973e+01
1.8074e+01,5.5213e+01
1.8174e+01,5.5454e+01
1.8275e+01,5.5695e+01
1.8376e+01,5.5936e+01
1.8478e+01,5.6178e+01
1.8581e+01,5.6421e+01
1.8684e+01,5.6664e+01
1.8787e+01,5.6907e+01
1.8891e+01,5.7151e+01
1.8996e+01,5.7395e+01
1.9101e+01,5.7640e+01
1.9207e+01,5.7885e+01
1.9314e+01,5.8130e+01
1.9421e+01,5.8376e+01
1.9528e+01,5.8623e+01
1.9637e+01,5.8870e+01
1.9745e+01,5.9117e+01
1.9855e+01,5.9365e+01
1.9965e+01,5.9613e+01
2.0076e+01,5.9861e+01
2.0187e+01,6.0110e+01
2.0299e+01,6.0359e+01
2.0411e+01,6.0609e+01
2.0524e+01,6.0859e+01
2.0638e+01,6.1109e+01
2.0752e+01,6.1360e+01
2.0867e+01,6.1611e+01
2.0983e+01,6.1863e+01
2.1099e+01,6.2115e+01
2.1216e+01,6.2367e+01
2.1334e+01,6.2620e+01
2.1452e+01,6.2873e+01
2.1571e+01,6.3126e+01
2.1691e+01,6.3380e+01
2.1811e+01,6.3634e+01
2.1932e+01,6.3888e+01
2.2053e+01,6.4143e+01
2.2175e+01,6.4398e+01
2.2298e+01,6.4653e+01
2.2422e+01,6.4909e+01
2.2546e+01,6.5165e+01
2.2671e+01,6.5421e+01
2.2797e+01,6.5677e+01
2.2923e+01,6.5934e+01
2.3050e+01,6.6191e+01
2.3178e+01,6.6449e+01
2.3306e+01,6.6707e+01
2.3436e+01,6.6965e+01
2.3566e+01,6.7223e+01
2.3696e+01,6.7482e+01
2.3827e+01,6.7740e+01
2.3960e+01,6.7999e+01
2.4092e+01,6.8259e+01
2.4226e+01,6.8518e+01
2.4360e+01,6.8778e+01
2.4495e+01,6.9039e+01
2.4631e+01,6.9299e+01
2.4767e+01,6.9560e+01
2.4905e+01,6.9820e+01
2.5043e+01,7.0082e+01
2.5181e+01,7.0343e+01
2.5321e+01,7.0605e+01
2.5461e+01,7.0866e+01
2.5602e+01,7.1128e+01
2.5744e+01,7.1391e+01
2.5887e+01,7.1653e+01
2.6031e+01,7.1916e+01
2.6175e+01,7.2179e+01
2.6320e+01,7.2442e+01
2.6466e+01,7.2705e+01
2.6612e+01,7.2969e+01
2.6760e+01,7.3232e+01
2.6908e+01,7.3496e+01
2.7057e+01,7.3760e+01
2.7207e+01,7.4024e+01
2.7358e+01,7.4289e+01
2.7510e+01,7.4553e+01
2.7662e+01,7.4818e+01
2.7816e+01,7.5083e+01
2.7970e+01,7.5348e+01
2.8125e+01,7.5614e+01
2.8281e+01,7.5879e+01
2.8437e+01,7.6145e+01
2.8595e+01,7.6411e+01
2.8753e+01,7.6677e+01
2.8913e+01,7.6943e+01
2.9073e+01,7.7209e+01
2.9234e+01,7.7475e+01
2.9396e+01,7.7742e+01
2.9559e+01,7.8009e+01
2.9723e+01,7.8276e+01
2.9888e+01,7.8543e+01
3.0053e+01,7.8810e+01
3.0220e+01,7.9077e+01
3.0387e+01,7.9344e+01
3.0556e+01,7.9612e+01
3.0725e+01,7.9880e+01
