wl,k
1.1233e+01,2.0175e+01
1.1288e+01,2.0257e+01
1.1343e+01,2.0339e+01
1.1398e+01,2.0421e+01
1.1453e+01,2.0503e+01
1.1508e+01,2.0586e+01
1.1564e+01,2.0668e+01
1.1620e+01,2.0751e+01
1.1676e+01,2.0833e+01
1.1733e+01,2.0916e+01
1.1790e+01,2.0999e+01
1.1847e+01,2.1082e+01
1.1904e+01,2.1165e+01
1.1962e+01,2.1249e+01
1.2020e+01,2.1332e+01
1.2078e+01,2.1415e+01
1.2137e+01,2.1499e+01
1.2195e+01,2.1583e+01
1.2255e+01,2.1666e+01
1.2314e+01,2.1750e+01
1.2374e+01,2.1834e+01
1.2434e+01,2.1918e+01
1.2494e+01,2.2002e+01
1.2554e+01,2.2086e+01
1.2615e+01,2.2171e+01
1.2676e+01,2.2255e+01
1.2738e+01,2.2340e+01
1.2799e+01,2.2424e+01
1.2861e+01,2.2509e+01
1.2924e+01,2.2594e+01
1.2986e+01,2.2678e+01
1.3049e+01,2.2763e+01
1.3112e+01,2.2848e+01
1.3176e+01,2.2933e+01
1.3240e+01,2.3018e+01
1.3304e+01,2.3104e+01
1.3368e+01,2.3189e+01
1.3433e+01,2.3274e+01
1.3498e+01,2.3360e+01
1.3564e+01,2.3445e+01
1.3629e+01,2.3531e+01
1.3695e+01,2.3616e+01
1.3762e+01,2.3702e+01
1.3828e+01,2.3788e+01
1.3895e+01,2.3874e+01
1.3963e+01,2.3960e+01
1.4030e+01,2.4046e+01
1.4098e+01,2.4132e+01
1.4167e+01,2.4218e+01
1.4235e+01,2.4304e+01
1.4304e+01,2.4390e+01
1.4374e+01,2.4476e+01
1.4443e+01,2.4563e+01
1.4513e+01,2.4649e+01
1.4583e+01,2.4736e+01
1.4654e+01,2.4822e+01
1.4725e+01,2.4909e+01
1.4796e+01,2.4995e+01
1.4868e+01,2.5082e+01
1.4940e+01,2.5169e+01
1.5013e+01,2.5255e+01
1.5085e+01,2.5342e+01
1.5158e+01,2.5429e+01
1.5232e+01,2.5516e+01
1.5306e+01,2.5603e+01
1.5380e+01,2.5690e+01
1.5454e+01,2.5777e+01
1.5529e+01,2.5864e+01
1.5604e+01,2.5951e+01
